Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1u","CAP_0603_Silks",49.000000,32.000000,180.000000,bottom
"Q1","NSS20101","SC89-3",49.200000,25.200000,0.000000,bottom
"Q2","NSS20101","SC89-3",49.200000,28.600000,0.000000,bottom
"Q3","M28S","SOT23-3",49.200000,25.200000,-90.000000,bottom
"Q4","M28S","SOT23-3",49.200000,28.600000,-90.000000,bottom
"Q7","SI2303","SOT23-3",31.000000,43.600000,0.000000,bottom
"Q10","SI2303","SOT23-3",34.400000,43.600000,0.000000,bottom
"Q11","SI2303","SOT23-3",41.200000,43.600000,0.000000,bottom
"Q12","SI2303","SOT23-3",43.100000,23.400000,-90.000000,bottom
"Q13","SI2303","SOT23-3",46.400000,43.600000,0.000000,bottom
"R2","10k","RES_0603",46.600000,22.300000,90.000000,bottom
"R3","DNM","RES_0603",46.600000,25.300000,-90.000000,bottom
"R4","1k","RES_0603",46.600000,28.600000,90.000000,bottom
"R6","100R","RES_0603",49.000000,39.400000,0.000000,bottom
"R7","100R","RES_0603",49.200000,22.200000,0.000000,bottom
"R10","100R","RES_0603",30.600000,47.000000,90.000000,bottom
"R11","10k","RES_0603",31.000000,41.000000,0.000000,bottom
"R12","100R","RES_0603",37.000000,43.800000,90.000000,bottom
"R14","100R","RES_0603",38.600000,43.800000,90.000000,bottom
"R15","10k","RES_0603",21.900000,34.500000,90.000000,bottom
"R16","10k","RES_0603",34.400000,41.000000,0.000000,bottom
"R17","100R","RES_0603",43.800000,43.800000,90.000000,bottom
"R18","10k","RES_0603",41.200000,41.000000,0.000000,bottom
"R19","100R","RES_0603",33.300000,22.200000,-90.000000,bottom
"R20","100R","RES_0603",34.900000,22.200000,-90.000000,bottom
"R21","10k","RES_0603",40.400000,23.400000,-90.000000,bottom
"R22","10k","RES_0603",46.400000,41.000000,0.000000,bottom
"R23","100R","RES_0603",36.800000,22.200000,-90.000000,bottom
"R24","100R","RES_0603",38.400000,22.200000,-90.000000,bottom
"RP3","REFPOINT","REF_POINT_1MM",2.800000,42.100000,180.000000,bottom
"RP4","REFPOINT","REF_POINT_1MM",59.600000,2.200000,180.000000,bottom
"XL5","SOCKET_4","PLS-4",25.800000,46.983000,-90.000000,bottom
